"uid","title","species"
"WOS:000071011200009","Lipid classes and their content of n-3 highly unsaturated fatty acids (HUFA) in Artemia franciscana after hatching, HUFA-enrichment and subsequent starvation","Clupea harengus"
<<<<<<< HEAD
"WOS:000071032800009","Cloning and identification of the Sulfolobus solfataricus lrp gene encoding an archaeal homologue of the eubacterial leucine-responsive global transcriptional regulator Lrp","Sulfolobus solfataricus"
=======
"WOS:000071032800009","Cloning and identification of the Sulfolobus solfataricus lrp gene encoding an archaeal homologue of the eubacterial leucine-responsive global transcriptional regulator Lrp","Pyrococcus furiosus"
>>>>>>> 254c1b708781ede9a3e69a06635476196c0c6534
"WOS:000071040500035","Identification and characterization of a novel arabinoxylanase from wheat flour","Aspergillus niger"
"WOS:000071090600039","The diatom record of a core from the seaward part of the coastal plain of Belgium","Rhaphoneis minutissima"
"WOS:000071186500001","High sensitivity of skeletogenesis to Pb in the asteroid Asterias rubens (Echinodermata)","Paracentrotus lividus"
"WOS:000071195400001","Feeding of the sparid fish Sarpa salpa in a seagrass ecosystem: Diet and carbon flux","Sarpa salpa"
"WOS:000071209300009","Adaptations of the hemoglobinless Antarctic icefish (Channichthyidae) to hypoxia tolerance","Chaenocephalus aceratus"
"WOS:000071209300052","Sex- and developmental stage-specific gelatinolytic activity in the fleshfly Neobellieria bullata and the regulating role of 20-OH-ecdysone","Bullata bullata"
"WOS:000071212600005","Major and comparable roles for free-living and attached bacteria in the degradation of Phaeocystis-derived organic matter in Belgian coastal waters of the North Sea","Phaeocystis pouchetii"
"WOS:000071269300003","Heavy metals in Diadema setosum (Echinodermata, Echinoidea) from Singapore coral reefs","Paracentrotus lividus"
"WOS:000071269300009","Nursery function of an estuarine tidal marsh for the brown shrimp Crangon crangon","Crangon crangon"
"WOS:000071269300010","Cage experiments in an East African mangrove forest: a synthesis","Ceriops tagal"
"WOS:000071299300016","Articular aspergillosis: Two case reports and review of the literature","Aspergillus terreus"
"WOS:000071343500003","Identification and phylogenetic relationships of microsporidia by riboprinting","Spraguea lophii"
"WOS:000071419400004","Biotransformation of locally applied precursors of dopamine, serotonin and noradrenaline in striatum and hippocampus: A microdialysis study","Hippocampus hippocampus"
"WOS:000071427000007","The venom of Conus pennuceus inhibits the binding of [H-3]neuropeptide Y by direct interaction with the radioligand","Conus pennaceus"
"WOS:000071468200012","Effect of dietary phospholipid on requirements for and incorporation of n-3 highly unsaturated fatty acids in postlarval Penaeus japonicus Bate","Penaeus monodon"
<<<<<<< HEAD
